id,pid,os_id,os,os_c,os_cp,paras,paras_c,paras_cp,start_time,end_time
1,65c6035fd0b0a5c45c894d9e,task1_dummy,task1_dummy,-1,-1.0,I am hotter than hugh,0,75.0851,2025-05-20 12:50:59,2025-05-20 12:50:59
2,65c6035fd0b0a5c45c894d9e,task1_dummy,task1_dummy,-1,-1.0,I am so hot at 14:50,1,51.0013,2025-05-20 12:50:59,2025-05-20 12:50:59
3,65c6035fd0b0a5c45c894d9e,task1_dummy,task1_dummy,-1,-1.0,I am hotter than hugh,0,75.0851,2025-05-20 12:51:02,2025-05-20 12:51:02
4,65c6035fd0b0a5c45c894d9e,task1_dummy,task1_dummy,-1,-1.0,I am hotter than hugh,0,75.0851,2025-05-20 12:51:05,2025-05-20 12:51:05
5,65c6035fd0b0a5c45c894d9e,task1_dummy,task1_dummy,-1,-1.0,I am hotter than hugh so much,0,80.1783,2025-05-20 12:51:14,2025-05-20 12:51:14
6,65c6035fd0b0a5c45c894d9e,task1_dummy,task1_dummy,-1,-1.0,Hugh is hotter than me ,0,77.9628,2025-05-20 12:51:32,2025-05-20 12:51:32
7,65c6035fd0b0a5c45c894d9e,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-20 12:51:35,2025-05-20 12:51:48
8,65c6035fd0b0a5c45c894d9e,2073,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-20 12:51:35,2025-05-20 12:51:55
9,65c6035fd0b0a5c45c894d9e,3955,"About three weeks ago my best friend gets kicked out of her house along with her child and she came to me for help. I gladly accepted her and her child to stay at my home rent free until she is ready to go on. My bestfriend and her husband had a huge falling out. I felt extremely guilty. I allowed her to stay at my house for three weeks now. All she has done for me is take and take from me without ever giving. I figured that she was hurt and not in a good place, so I allowed it. After day in and day out of her not cleaning after herself or her son, not helping around the house, and not being a decent roommate is where I feel like I could have done something.",0,51.7359,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-20 12:52:18,2025-05-20 12:52:30
10,65c6035fd0b0a5c45c894d9e,3955,"About three weeks ago my best friend gets kicked out of her house along with her child and she came to me for help. I gladly accepted her and her child to stay at my home rent free until she is ready to go on. My bestfriend and her husband had a huge falling out. I felt extremely guilty. I allowed her to stay at my house for three weeks now. All she has done for me is take and take from me without ever giving. I figured that she was hurt and not in a good place, so I allowed it. After day in and day out of her not cleaning after herself or her son, not helping around the house, and not being a decent roommate is where I feel like I could have done something.",0,51.7359,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-20 12:52:32,2025-05-20 12:52:39
